Kernighan,Ritchie,The C Programming Language,Prentice Hall,1988,9780131103702
Kernighan,Ritchie,El lenguaje de programación C,Pearson Educación,1991,9789688802052
Aguilar,Zahonero,Programación en C: metodología algoritmos y estructuras de datos,McGraw-Hill,2005,9788448198442
Deitel,Deitel,C: How to Program,Pearson,2012,9780132990448.
Bowman, ,Algorithms and Data Structures: An Approach in C,Oxford University Press,2004,9780195174809
Bowman,Hernández,Algoritmos y estructuras de datos: aproximación en C,Oxford University Press,1999,9789706134592
Kruse,Tondo,Data Structures and Program Design in C,Pearson Education,2007,9788177584233
